SpeciesCat_ISSCAAP_code,Species_AFSIS,CommName,Family,Order
36,Istiophorus albicans,Atlantic sailfish,Istiophoridae,SCOMBROIDEI
38,Scymnodalatias albicauda,Whitetail dogfish,Squalidae,SQUALIFORMES
33,Sufflamen albicaudatus,Bluethroat triggerfish,Balistidae,TETRAODONTIFORMES
,Haliaeetus albicilla,White-tailed sea-eagle,Accipitridae,FALCONIFORMES
52,Nerita albicilla,Oxpalate nerite,Neritidae,GASTROPODA
13,Parauchenipterus albicrux,,Auchenipteridae,SILURIFORMES
52,Gibbula albida,White gibbula,Trochidae,GASTROPODA
33,Daysciaena albida,Bengal corvina,Sciaenidae,PERCOIDEI
33,Cryptocentrus albidorsus,,Gobiidae,GOBIOIDEI
41,Cherax albidus,,Parastacidae,REPTANTIA
36,Tetrapturus albidus,Atlantic white marlin,Istiophoridae,SCOMBROIDEI
32,Merluccius albidus,Offshore silver hake,Merlucciidae,GADIFORMES
11,Alburnus albidus,,Cyprinidae,CYPRINIFORMES
43,Panulirus albiflagellum,White whisker spiny lobster,Palinuridae,REPTANTIA
33,Nibea albiflora,Yellow drum,Sciaenidae,PERCOIDEI
13,Apteronotus albifrons,Black ghost,Apteronotidae,GYMNOTIFORMES
31,Paralichthys albigutta,Gulf flounder,Paralichthyidae,PLEURONECTIFORMES
34,Kathetostoma albigutta,Lancer stargazer,Uranoscopidae,TRACHINOIDEI
33,Paraplotosus albilabris,Whitelipped eel catfish,Plotosidae,SILURIFORMES
33,Amblygobius albimaculatus,Butterfly goby,Gobiidae,GOBIOIDEI
33,Variola albimarginata,White-edged lyretail,Serranidae,PERCOIDEI
38,Carcharhinus albimarginatus,Silvertip shark,Carcharhinidae,CARCHARHINIFORMES
34,Himantolophus albinares,,Himantolophidae,LOPHIIFORMES
12,Enantiopus albini,,Cichlidae,PERCOIDEI
34,Photonectes albipennis,,Stomiidae,STOMIIFORMES
34,Pogonophryne albipinna,,Artedidraconidae,PERCOIDEI
11,Gobio albipinnatus,White-finned gudgeon,Cyprinidae,CYPRINIFORMES
62,Lagenorhynchus albirostris,White-beaked dolphin,Delphinidae,ODONTOCETI
33,Dascyllus albisella,Hawaiian dascyllus,Pomacentridae,PERCOIDEI
33,Cirripectes alboapicalis,,Blenniidae,OTHER PERCIFORMES
33,Wetmorella albofasciata,Whitebanded sharpnose wrasse,Labridae,PERCOIDEI
33,Batrichthys albofasciatus,White-ribbed toadfish,Batrachoididae,BATRACHOIDIFORMES
33,Parapercis alboguttata,Whitespot sandsmelt,Pinguipedidae,TRACHINOIDEI
52,Trophon albolabratus,Antarctic trophon,Buccinidae,GASTROPODA
42,Grapsus albolineatus,Mottled crab,Grapsidae,BRACHYURA
31,Synaptura albomaculata,,Soleidae,PLEURONECTIFORMES
31,Poecilopsetta albomaculata,,Pleuronectidae,PLEURONECTIFORMES
38,Rhinobatos albomaculatus,Whitespotted guitarfish,Rhinobatidae,RAJIFORMES
33,Paralabrax albomaculatus,Camotillo,Serranidae,PERCOIDEI
33,Gracila albomarginata,Masked grouper,Serranidae,PERCOIDEI
13,Pseudopimelodus albomarginatus,,Pimelodidae,SILURIFORMES
33,Epinephelus albomarginatus,White-edged grouper,Serranidae,PERCOIDEI
11,Tanichthys albonubes,White cloud mountain minnow,Cyprinidae,CYPRINIFORMES
33,Stethojulis albovittata,Bluelined wrasse,Labridae,PERCOIDEI
23,Coregonus albula,Vendace,Coregonidae,SALMONIFORMES
11,Albulichthys albuloides,,Cyprinidae,CYPRINIFORMES
33,Haemulon album,White margate,Haemulidae,PERCOIDEI
52,Neverita albumen,Eggwhite moon snail,Naticidae,GASTROPODA
11,Rutilus alburnoides,,Cyprinidae,CYPRINIFORMES
13,Paragoniates alburnus,,Characidae,CHARACIFORMES
11,Culter alburnus,,Cyprinidae,CYPRINIFORMES
11,Alburnus alburnus,Bleak,Cyprinidae,CYPRINIFORMES
76,Loxechinus albus,Chilean sea urchin,Echinidae,ECHINOIDEA
53,Malleus albus,White hammer oyster,Malleidae,BIVALVIA
21,Scaphirhynchus albus,Pallid sturgeon,Acipenseridae,ACIPENSERIFORMES
13,Monopterus albus,Asian swamp eel,Synbranchidae,SYNBRANCHIFORMES
13,Luciogobius albus,,Gobiidae,GOBIOIDEI
12,Lethrinops albus,,Cichlidae,PERCOIDEI
33,Cynoscion albus,Whitefin weakfish,Sciaenidae,PERCOIDEI
12,Oreochromis alcalicus,Magadi tilapia,Cichlidae,PERCOIDEI
13,Poblana alchichica,,Atherinidae,ATHERINIFORMES
33,Alcichthys alcicornis,,Cottidae,SCORPAENIFORMES
45,Metapenaeus alcocki,Fire shrimp,Penaeidae,NATANTIA
45,Plesionika alcocki,Gondwana striped shrimp,Pandalidae,NATANTIA
45,Aristeus alcocki,Arabian red shrimp,Aristaeidae,NATANTIA
34,Halimochirurgus alcocki,,Triacanthodidae,TETRAODONTIFORMES
38,Halaelurus alcocki,Arabian catshark,Scyliorhinidae,CARCHARHINIFORMES
34,Dysalotus alcocki,,Chiasmodontidae,TRACHINOIDEI
38,Himantura alcockii,,Dasyatidae,RAJIFORMES
33,Pseudochromis aldabraensis,Orange dottyback,Pseudochromidae,PERCOIDEI
56,Panopea aldovrandi,Aldovrandi's panope,Hiatellidae,BIVALVIA
33,Alectrias alectrolophus,Stone cockscomb,Stichaeidae,ZOARCOIDEI
33,Chaenopsis alepidota,Orangethroat pikeblenny,Chaenopsidae,OTHER PERCIFORMES
34,Derepodichthys alepidotus,Cuskpout,Zoarcidae,ZOARCOIDEI
33,Psilotris alepis,,Gobiidae,GOBIOIDEI
11,Nematabramis alestes,,Cyprinidae,CYPRINIFORMES
13,Dysichthys aleuropsis,,Aspredinidae,SILURIFORMES
33,Cryptacanthodes aleutensis,Dwarf wrymouth,Cryptacanthodidae,ZOARCOIDEI
34,Sebastes aleutianus,Rougheye rockfish,Scorpaenidae,SCORPAENIFORMES
38,Bathyraja aleutica,Aleutian skate,Rajidae,RAJIFORMES
13,Lophiosilurus alexandri,,Pimelodidae,SILURIFORMES
37,Alectis alexandrinus,Alexandria pompano,Carangidae,PERCOIDEI
45,Solenocera alfonso,Deep-water mud shrimp,Solenoceridae,NATANTIA
38,Manta alfredi,,Mobulidae,RAJIFORMES
34,Kryptophanaron alfredi,Atlantic flashlightfish,Anomalopidae,BERYCIFORMES
34,Linophryne algibarbata,,Linophrynidae,LOPHIIFORMES
33,Hippocampus algiricus,West African seahorse,Syngnathidae,SYNGNATHIFORMES
45,Solenocera algoensis,Algoa shrimp,Solenoceridae,NATANTIA
31,Paralichthodes algoensis,Peppered flounder,Pleuronectidae,PLEURONECTIFORMES
54,Semimytilus algosus,,Mytilidae,BIVALVIA
38,Squaliolus aliae,Smalleye pygmy shark,Squalidae,SQUALIFORMES
45,Sicyonia aliaffinis,Hardhusk rock shrimp,Sicyoniidae,NATANTIA
13,Calamiana aliceae,,Gobiidae,GOBIOIDEI
13,Isbrueckerichthys alipionis,,Loricariidae,SILURIFORMES
13,Parosphromenus allani,,Belontiidae,"STROMATEOIDEI, ANABANTOIDEI"
33,Amphiprion allardi,Twobar anemonefish,Pomacentridae,PERCOIDEI
33,Anarchias allardicei,Allardice's moray,Muraenidae,ANGUILLIFORMES
,Alle alle,Dovekie,Alcidae,CICONIIFORMES
13,Stiphodon allen,,Gobiidae,GOBIOIDEI
41,Procambarus alleni,Florida crayfish,Cambaridae,REPTANTIA
33,Valenciennea alleni,,Gobiidae,GOBIOIDEI
33,Tanyemblemaria alleni,Slender blenny,Chaenopsidae,OTHER PERCIFORMES
38,Pavoraja alleni,Allens skate,Rajidae,RAJIFORMES
33,Labropsis alleni,Allen's tubelip,Labridae,PERCOIDEI
33,Dotalabrus alleni,,Labridae,PERCOIDEI
33,Cheilodipterus alleni,,Apogonidae,PERCOIDEI
34,Cataetyx alleni,,Bythitidae,OPHIDIIFORMES
13,Apomatoceros alleni,,Trichomycteridae,SILURIFORMES
13,Anchoviella alleni,Allen's anchovy,Engraulidae,CLUPEIFORMES
36,Euthynnus alletteratus,Little tunny(=Atl.black skipj),Scombridae,SCOMBROIDEI
52,Tonna allium,Costate tun,Tonnidae,GASTROPODA
33,Coryphopterus alloides,Barfin goby,Gobiidae,GOBIOIDEI
13,Clarias alluaudi,,Clariidae,SILURIFORMES
12,Astatoreochromis alluaudi,,Cichlidae,PERCOIDEI
24,Alosa alosa,Allis shad,Clupeidae,CLUPEIFORMES
52,Thais alouina,Alou rock shell,Muricidae,GASTROPODA
33,Lythrypnus alphigena,,Gobiidae,GOBIOIDEI
23,Salvelinus alpinus,Arctic char,Salmonidae,SALMONIFORMES
33,Spicara alta,Bigeye picarel,Centracanthidae,PERCOIDEI
56,Siliqua alta,Dall's razor clam,Solenidae,BIVALVIA
13,Tympanopleura alta,,Ageneiosidae,SILURIFORMES
12,Crenicichla alta,,Cichlidae,PERCOIDEI
33,Apopterygion alta,Tasselled triplefin,Tripterygiidae,OTHER PERCIFORMES
13,Tatia altae,,Auchenipteridae,SILURIFORMES
13,Lepthoplosternum altamazonicum,,Callichthyidae,SILURIFORMES
38,Gymnura altavela,Spiny butterfly ray,Gymnuridae,RAJIFORMES
33,Pervagor alternans,Yelloweye filefish,Monacanthidae,TETRAODONTIFORMES
56,Tellina alternata,Alternate tellin,Tellinidae,BIVALVIA
13,Trichomycterus alternatum,,Trichomycteridae,SILURIFORMES
13,Ochmacanthus alternus,,Trichomycteridae,SILURIFORMES
11,Barbus altianalis,Ripon barbel,Cyprinidae,CYPRINIFORMES
45,Solenocera alticarinata,High ridge mud shrimp,Solenoceridae,NATANTIA
11,Onychostoma alticorpus,Taiwan ku fish,Cyprinidae,CYPRINIFORMES
43,Ibacus alticrenatus,Velvet fan lobster,Scyllaridae,REPTANTIA
11,Barbus altidorsalis,,Cyprinidae,CYPRINIFORMES
38,Carcharhinus altimus,Bignose shark,Carcharhinidae,CARCHARHINIFORMES
56,Iphigenia altior,Tall false donax,Donacidae,BIVALVIA
13,Rhoadsia altipinna,,Characidae,CHARACIFORMES
33,Plectranthias altipinnatus,,Serranidae,PERCOIDEI
33,Torquigener altipinnis,,Tetraodontidae,TETRAODONTIFORMES
33,Rabaulichthys altipinnis,Sailfin anthias,Serranidae,PERCOIDEI
34,Pseudoscopelus altipinnis,,Chiasmodontidae,TRACHINOIDEI
13,Pimelodus altipinnis,,Pimelodidae,SILURIFORMES
33,Parambassis altipinnis,High-finned glass perchlet,Ambassidae,PERCOIDEI
33,Micropogonias altipinnis,Tallfin croaker,Sciaenidae,PERCOIDEI
13,Pimelodus altissimus,,Pimelodidae,SILURIFORMES
37,Guentherus altivela,Jellynose,Ateleopodidae,LAMPRIFORMES
34,Sebastolobus altivelis,Longspine thornyhead,Scorpaenidae,SCORPAENIFORMES
33,Pseudotrichonotus altivelis,,Pseudotrichonotidae,AULOPIFORMES
23,Plecoglossus altivelis,Ayu sweetfish,Plecoglossidae,SALMONIFORMES
33,Platygillellus altivelis,Sailfin stargazer,Dactyloscopidae,OTHER PERCIFORMES
33,Paraclinus altivelis,,Labrisomidae,OTHER PERCIFORMES
11,Labeo altivelis,Rednose labeo,Cyprinidae,CYPRINIFORMES
33,Enneanectes altivelis,Lofty triplefin,Tripterygiidae,OTHER PERCIFORMES
33,Cromileptes altivelis,Humpback grouper,Serranidae,PERCOIDEI
33,Coradion altivelis,Highfin coralfish,Chaetodontidae,PERCOIDEI
33,Calloplesiops altivelis,Comet,Plesiopidae,PERCOIDEI
12,Pterophyllum altum,,Cichlidae,PERCOIDEI
11,Yunnanilus altus,,Balitoridae,CYPRINIFORMES
37,Oligoplites altus,Longjaw leatherjacket,Carangidae,PERCOIDEI
13,Nannocharax altus,,Distichodontidae,CHARACIFORMES
13,Brachypetersius altus,,Alestidae,CHARACIFORMES
11,Barbonymus altus,Red tailed tinfoil,Cyprinidae,CYPRINIFORMES
52,Cerithium alucastrum,Spicate cerithe,Cerithiidae,GASTROPODA
52,Pseudovergatus aluco,Aluco vergatus,Cerithiidae,GASTROPODA
33,Synanceia alula,,Synanceiidae,SCORPAENIFORMES
13,Doumea alula,,Amphiliidae,SILURIFORMES
11,Acrocheilus alutaceus,Chiselmouth,Cyprinidae,CYPRINIFORMES
34,Sebastes alutus,Pacific ocean perch,Scorpaenidae,SCORPAENIFORMES
33,Astrapogon alutus,Bronze cardinalfish,Apogonidae,PERCOIDEI
11,Cyprinella alvarezdelvillari,,Cyprinidae,CYPRINIFORMES
13,Xiphophorus alvarezi,,Poeciliidae,CYPRINODONTIFORMES
13,Gymnallabes alvarezi,,Clariidae,SILURIFORMES
13,Cyprinodon alvarezi,Potosi pupfish,Cyprinodontidae,CYPRINODONTIFORMES
92,Kappaphycus alvarezii,Elkhorn sea moss,Solieriaceae,RHODOPHYCEAE
33,Chonerhinos amabilis,,Tetraodontidae,TETRAODONTIFORMES
34,Spottobrotula amaculata,,Ophidiidae,OPHIDIIFORMES
13,Weberogobius amadi,,Gobiidae,GOBIOIDEI
92,Gelidium amansii,Japanese isinglass,Gelidiaceae,RHODOPHYCEAE
37,Neostethus amaricola,,Phallostethidae,ATHERINIFORMES
11,Rhodeus amarus,,Cyprinidae,CYPRINIFORMES
13,Bunocephalus amaurus,Camouflaged catfish,Aspredinidae,SILURIFORMES
13,Rhinosardinia amazonica,Amazon spinejaw sprat,Clupeidae,CLUPEIFORMES
13,Psectrogaster amazonica,,Curimatidae,CHARACIFORMES
13,Poecilia amazonica,,Poeciliidae,CYPRINODONTIFORMES
41,Macrobrachium amazonicum,Amazonian river prawn,Palaemonidae,NATANTIA
13,Ituglanis amazonicum,,Trichomycteridae,SILURIFORMES
13,Brycon amazonicus,,Characidae,CHARACIFORMES
34,Hispidoberyx ambagiosus,,Hispidoberycidae,BERYCIFORMES
33,Vanderhorstia ambanoro,Ambanoro prawn-goby,Gobiidae,GOBIOIDEI
34,Ophthalmolycus amberensis,,Zoarcidae,ZOARCOIDEI
76,Ophiura ambigua,,Ophiuridae,OPHIUROIDEA
13,Macquaria ambigua,Golden perch,Percichthyidae,PERCOIDEI
52,Hexaplex ambiguus,Ambiguous murex,Muricidae,GASTROPODA
11,Megalobrama amblycephala,Wuchang bream,Cyprinidae,CYPRINIFORMES
33,Johnius amblycephalus,Bearded croaker,Sciaenidae,PERCOIDEI
33,Epinephelus amblycephalus,Banded grouper,Serranidae,PERCOIDEI
38,Carcharhinus amblyrhynchoides,Graceful shark,Carcharhinidae,CARCHARHINIFORMES
38,Carcharhinus amblyrhynchos,Grey reef shark,Carcharhinidae,CARCHARHINIFORMES
13,Redigobius amblyrhynchus,,Gobiidae,GOBIOIDEI
37,Hemicaranx amblyrhynchus,Bluntnose jack,Carangidae,PERCOIDEI
13,Cottus amblystomopsis,Sakhalin sculpin,Cottidae,SCORPAENIFORMES
13,Steindachneridion amblyurua,,Pimelodidae,SILURIFORMES
33,Lethrinus amboinensis,Ambon emperor,Lethrinidae,PERCOIDEI
45,Lysmata amboinensis,Common cleaner shrimp,Hippolytidae,NATANTIA
33,Pteragogus amboinensis,,Labridae,PERCOIDEI
33,Paralticus amboinensis,Ambon rockskipper,Blenniidae,OTHER PERCIFORMES
38,Carcharhinus amboinensis,Pigeye shark,Carcharhinidae,CARCHARHINIFORMES
33,Canthigaster amboinensis,Spider-eye puffer,Tetraodontidae,TETRAODONTIFORMES
34,Marukawichthys ambulator,,Ereuniidae,SCORPAENIFORMES
52,Odontocymbiola americana,,Volutidae,GASTROPODA
46,Euphausia americana,,Euphausiidae,EUPHAUSIACEA
34,Neoepinnula americana,American sackfish,Gempylidae,SCOMBROIDEI
25,Morone americana,White perch,Moronidae,PERCOIDEI
38,Dasyatis americana,Southern stingray,Dasyatidae,RAJIFORMES
41,Macrobrachium americanum,Cauque river prawn,Palaemonidae,NATANTIA
33,Ammodytes americanus,American sand lance,Ammodytidae,TRACHINOIDEI
54,Modiolus americanus,Tulip mussel,Mytilidae,BIVALVIA
53,Spondylus americanus,Atlantic thorny oyster,Spondylidae,BIVALVIA
45,Acetes americanus,Aviu shrimp,Sergestidae,NATANTIA
43,Homarus americanus,American lobster,Nephropidae,REPTANTIA
33,Macrozoarces americanus,Ocean pout,Zoarcidae,ZOARCOIDEI
34,Polyprion americanus,Wreckfish,Polyprionidae,PERCOIDEI
31,Pseudopleuronectes americanus,Winter flounder,Pleuronectidae,PLEURONECTIFORMES
33,Menticirrhus americanus,Southern kingcroaker,Sciaenidae,PERCOIDEI
34,Lophius americanus,American angler,Lophiidae,LOPHIIFORMES
13,Esox americanus,Redfin pickerel,Esocidae,ESOCIFORMES
38,Anacanthobatis americanus,,Anacanthobatidae,RAJIFORMES
37,Lichia amia,Leerfish,Carangidae,PERCOIDEI
55,Decatopecten amiculum,Cloak scallop,Pectinidae,BIVALVIA
13,Callogobius amikami,,Gobiidae,GOBIOIDEI
76,Ophiocten amitinum,,Ophiuridae,OPHIUROIDEA
42,Callinectes amnicola,Bigfisted swimcrab,Portunidae,BRACHYURA
33,Argyrosomus amoyensis,Amoy croaker,Sciaenidae,PERCOIDEI
12,Uaru amphiacanthoides,Uaru,Cichlidae,PERCOIDEI
11,Puntius amphibius,,Cyprinidae,CYPRINIFORMES
12,Oreochromis amphimelas,,Cichlidae,PERCOIDEI
42,Cancer amphioetus,Japanese rock crab,Cancridae,BRACHYURA
52,Melo amphora,Diadem volute,Volutidae,GASTROPODA
82,Merulina ampliata,Merulina coral,Merulinidae,ANTHOZOA
34,Careproctus ampliceps,,Liparidae,SCORPAENIFORMES
33,Congrogadus amplimaculatus,,Pseudochromidae,PERCOIDEI
34,Neomerinthe amplisquamiceps,,Scorpaenidae,SCORPAENIFORMES
45,Pandalus amplus,Deep-water bigeye shrimp,Pandalidae,NATANTIA
33,Bryaninops amplus,Large whip goby,Gobiidae,GOBIOIDEI
13,Schismatogobius ampluvinculus,,Gobiidae,GOBIOIDEI
34,Saccopharynx ampullaceus,,Saccopharyngidae,SACCOPHARYNGIFORMES
62,Hyperoodon ampullatus,Northern bottlenose whale,Ziphiidae,ODONTOCETI
,Diomedea amsterdamensis,Amsterdam Island albatross,Diomedeidae,PROCELLARIIFORMES
33,Anoplocapros amygdaloides,Western smooth boxfish,Ostraciidae,TETRAODONTIFORMES
13,Anableps anableps,Largescale foureyes,Anablepidae,CYPRINODONTIFORMES
12,Exochochromis anagenys,Threespot torpedo,Cichlidae,PERCOIDEI
34,Ariosoma anago,Silvery conger,Congridae,ANGUILLIFORMES
37,Trachinotus anak,Oyster pompano,Carangidae,PERCOIDEI
34,Ariosoma anale,Short-tail conger,Congridae,ANGUILLIFORMES
33,Hyperprosopon anale,Spotfin surfperch,Embiotocidae,PERCOIDEI
33,Bryx analicarens,Pink pipefish,Syngnathidae,SYNGNATHIFORMES
33,Selenanthias analis,Pearl-spotted fairy basslet,Serranidae,PERCOIDEI
34,Scopelarchus analis,,Scopelarchidae,AULOPIFORMES
34,Neobythites analis,Black-edged cusk-eel,Ophidiidae,OPHIDIIFORMES
37,Membras analis,Backwaters silverside,Atherinidae,ATHERINIFORMES
33,Lutjanus analis,Mutton snapper,Lutjanidae,PERCOIDEI
33,Cynoscion analis,Peruvian weakfish,Sciaenidae,PERCOIDEI
33,Chromis analis,Yellow chromis,Pomacentridae,PERCOIDEI
38,Asymbolus analis,Australian spotted catshark,Scyliorhinidae,CARCHARHINIFORMES
33,Antennarius analis,Tailjet frogfish,Antennariidae,LOPHIIFORMES
44,Emerita analoga,Coldwater mole crab,Hippidae,ANOMURA
33,Kyphosus analogus,Blue-bronze sea chub,Kyphosidae,PERCOIDEI
33,Epinephelus analogus,Spotted grouper,Serranidae,PERCOIDEI
11,Cyprinella analostana,Satinfin shiner,Cyprinidae,CYPRINIFORMES
44,Paralomis anamerae,,Lithodidae,ANOMURA
76,Thelenota ananas,Prickly redfish,Stichopodidae,HOLOTHUROIDEA
34,Sorosichthys ananassa,Little pineapple fish,Trachichthyidae,BERYCIFORMES
47,Lepas anatifera,Goose barnacle,Lepadidae,THORACICA
33,Enchelycore anatina,Fangtooth moray,Muraenidae,ANGUILLIFORMES
11,Sinocyclocheilus anatirostris,,Cyprinidae,CYPRINIFORMES
32,Coelorinchus anatirostris,Duckbill grenadier,Macrouridae,GADIFORMES
33,Bembrops anatirostris,Duckbill flathead,Percophidae,TRACHINOIDEI
76,Thelenota anax,Amber fish,Stichopodidae,HOLOTHUROIDEA
45,Metapenaeus anchistus,Spiny greasyback shrimp,Penaeidae,NATANTIA
35,Engraulis anchoita,Argentine anchovy,Engraulidae,CLUPEIFORMES
45,Trachypenaeus anchoralis,Hardback shrimp,Penaeidae,NATANTIA
52,Adelomelon ancilla,,Volutidae,GASTROPODA
33,Petroscirtes ancylodon,Arabian fangblenny,Blenniidae,OTHER PERCIFORMES
33,Macrodon ancylodon,King weakfish,Sciaenidae,PERCOIDEI
38,Rhina ancylostoma,Bowmouth guitarfish,Rhinobatidae,RAJIFORMES
45,Metapenaeopsis andamanensis,Rice velvet shrimp,Penaeidae,NATANTIA
57,Abralia andamanica,,Enoploteuthidae,CEPHALOPODA
43,Metanephrops andamanicus,Andaman lobster,Nephropidae,REPTANTIA
58,Acanthochitona andersoni,Smooth glass-hair chiton,Acanthochitonidae,POLYPLACOPHORA
33,Epinephelus andersoni,Catface grouper,Serranidae,PERCOIDEI
13,Corymbophanes andersoni,,Loricariidae,SILURIFORMES
12,Oreochromis andersonii,Three spotted tilapia,Cichlidae,PERCOIDEI
33,Micrognathus andersonii,Shortnose pipefish,Syngnathidae,SYNGNATHIFORMES
34,Krefftichthys anderssoni,,Myctophidae,MYCTOPHIFORMES
35,Stolephorus andhraensis,Andhra anchovy,Engraulidae,CLUPEIFORMES
34,Centrobranchus andreae,,Myctophidae,MYCTOPHIFORMES
57,Sepia andreana,Andrea cuttlefish,Sepiidae,CEPHALOPODA
32,Muraenolepis andriashevi,,Muraenolepididae,GADIFORMES
34,Paraliparis andriashevi,,Liparidae,SCORPAENIFORMES
31,Pseudomancopsetta andriashevi,,Achiropsettidae,PLEURONECTIFORMES
34,Protomyctophum andriashevi,,Myctophidae,MYCTOPHIFORMES
32,Idiolophorhynchus andriashevi,Pineapple rattail,Macrouridae,GADIFORMES
34,Gyrinomimus andriashevi,,Cetomimidae,CETOMIMIFORMES
38,Bathyraja andriashevi,,Rajidae,RAJIFORMES
11,Phreatichthys andruzzii,Somalian cavefish,Cyprinidae,CYPRINIFORMES
13,Trachelyopterichthys anduzei,,Auchenipteridae,SILURIFORMES
13,Ernstichthys anduzei,,Aspredinidae,SILURIFORMES
33,Pennahia anea,Bigeye croaker,Sciaenidae,PERCOIDEI
77,Smittina anecdota,,Smittinidae,BRYOZOA
53,Ostrea angasi,Australian mud oyster,Ostreidae,BIVALVIA
53,Myrakeena angelica,Angel oyster,Ostreidae,BIVALVIA
33,Coralliozetus angelica,Angel blenny,Chaenopsidae,OTHER PERCIFORMES
13,Synodontis angelicus,Angel squeaker,Mochokidae,SILURIFORMES
33,Chrysoblephus anglicus,Englishman seabream,Sparidae,PERCOIDEI
41,Sesarma angolense,Angola marsh crab,Grapsidae,BRACHYURA
57,Todarodes angolensis,Angolan flying squid,Ommastrephidae,CEPHALOPODA
33,Thorogobius angolensis,,Gobiidae,GOBIOIDEI
34,Scorpaena angolensis,Angola rockfish,Scorpaenidae,SCORPAENIFORMES
12,Oreochromis angolensis,,Cichlidae,PERCOIDEI
33,Miracorvina angolensis,Angola croaker,Sciaenidae,PERCOIDEI
13,Hemigrammocharax angolensis,,Distichodontidae,CHARACIFORMES
33,Dentex angolensis,Angolan dentex,Sparidae,PERCOIDEI
11,Labeo angra,,Cyprinidae,CYPRINIFORMES
13,Glanapteryx anguilla,,Trichomycteridae,SILURIFORMES
22,Anguilla anguilla,European eel,Anguillidae,ANGUILLIFORMES
34,Dysomma anguillare,Shortbelly eel,Synaphobranchidae,ANGUILLIFORMES
13,Taenioides anguillaris,Eel worm goby,Gobiidae,GOBIOIDEI
13,Clarias anguillaris,Mudfish,Clariidae,SILURIFORMES
33,Blennophis anguillaris,Snaky klipfish,Clinidae,OTHER PERCIFORMES
11,Misgurnus anguillicaudatus,Pond loach,Cobitidae,CYPRINIFORMES
38,Chlamydoselachus anguineus,Frilled shark,Chlamydoselachidae,HEXANCHIFORMES
33,Pholidichthys anguis,,Pholidichthyidae,OTHER PERCIFORMES
82,Flabellum angulare,,Flabellidae,ANTHOZOA
52,Hexaplex angularis,Angular murex,Muricidae,GASTROPODA
56,Trachycardium angulatum,Angulate cockle,Cardiidae,BIVALVIA
43,Puerulus angulatus,Banded whip lobster,Palinuridae,REPTANTIA
13,Triportheus angulatus,,Characidae,CHARACIFORMES
33,Paracheilinus angulatus,Angular flasher,Labridae,PERCOIDEI
13,Delturus angulicauda,,Loricariidae,SILURIFORMES
32,Coryphaenoides anguliceps,Loosescale grenadier,Macrouridae,GADIFORMES
77,Isoseculiflustra angusta,,Flustridae,BRYOZOA
42,Calappa angusta,Nodose box crab,Calappidae,BRACHYURA
33,Paranotothenia angustata,Maori chief,Nototheniidae,PERCOIDEI
12,Serranochromis angusticeps,Thinface cichlid,Cichlidae,PERCOIDEI
33,Crapatalus angusticeps,Slender stargazer,Leptoscopidae,TRACHINOIDEI
94,Posidonia angustifolia,,Posidoniaceae,ANGIOSPERMAE
91,Macrocystis angustifolia,,Lessoniaceae,PHAEOPHYCEAE
33,Notothenia angustifrons,Narrowhead rockcod,Nototheniidae,PERCOIDEI
33,Tripodichthys angustifrons,Black-flag tripodfish,Triacanthidae,TETRAODONTIFORMES
13,Lates angustifrons,Tanganyika lates,Centropomidae,PERCOIDEI
32,Merluccius angustimanus,Panama hake,Merlucciidae,GADIFORMES
56,Lutraria angustior,Narrow otter shell,Mactridae,BIVALVIA
33,Eupetrichthys angustipes,,Labridae,PERCOIDEI
63,Mirounga angustirostris,Northern elephant seal,Phocidae,PINNIPEDIA
36,Tetrapturus angustirostris,Shortbill spearfish,Istiophoridae,SCOMBROIDEI
34,Neophrynichthys angustus,Pale toadfish,Psychrolutidae,SCORPAENIFORMES
13,Pterygoplichthys anisitsi,Snow pleco,Loricariidae,SILURIFORMES
13,Homodiaetus anisitsi,,Trichomycteridae,SILURIFORMES
42,Charybdis anisodon,Twospined arm swimming crab,Portunidae,BRACHYURA
23,Stokellia anisodon,Stokell's smelt,Retropinnidae,SALMONIFORMES
13,Phenacorhamdia anisura,,Pimelodidae,SILURIFORMES
13,Gnatholepis anjerensis,,Gobiidae,GOBIOIDEI
11,Balitora annamitica,,Balitoridae,CYPRINIFORMES
41,Exopalaemon annandalei,Cipango prawn,Palaemonidae,NATANTIA
38,Rhinobatos annandalei,Annandale's guitarfish,Rhinobatidae,RAJIFORMES
38,Raja annandalei,,Rajidae,RAJIFORMES
33,Pleurosicya annandalei,Scalynape goby,Gobiidae,GOBIOIDEI
11,Lepidocephalus annandalei,,Cobitidae,CYPRINIFORMES
12,Tropheus annectens,,Cichlidae,PERCOIDEI
12,Thysochromis annectens,,Cichlidae,PERCOIDEI
13,Protopterus annectens,West African lungfish,Protopteridae,POLYPTERIFORMES
12,Protomelas annectens,,Cichlidae,PERCOIDEI
13,Priapichthys annectens,,Poeciliidae,CYPRINODONTIFORMES
13,Acanthopoma annectens,,Trichomycteridae,SILURIFORMES
38,Dasyatis annotata,Plain maskray,Dasyatidae,RAJIFORMES
13,Pomoxis annularis,White crappie,Centrarchidae,PERCOIDEI
33,Pomacanthus annularis,Bluering angelfish,Pomacanthidae,PERCOIDEI
33,Diplodus annularis,Annular seabream,Sparidae,PERCOIDEI
34,Notolepis annulata,Ringed barracudina,Paralepididae,AULOPIFORMES
52,Oliva annulata,Amethyst olive,Olividae,GASTROPODA
